SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
10001,Aarons Pass,103,Central West,1,100
10002,Abbotsbury,127,Sydney - South West,1,100
10003,Abbotsford (NSW),120,Sydney - Inner West,1,100
10004,Abercrombie,103,Central West,1,100
10005,Abercrombie River,103,Central West,1,100
10006,Aberdare,106,Hunter Valley exc Newcastle,1,100
10007,Aberdeen (NSW),106,Hunter Valley exc Newcastle,1,100
10008,Aberfoyle,110,New England and North West,1,100
10009,Aberglasslyn,106,Hunter Valley exc Newcastle,1,100
10010,Abermain,106,Hunter Valley exc Newcastle,1,100
10011,Abernethy,106,Hunter Valley exc Newcastle,1,100
10012,Abington (NSW),110,New England and North West,1,100
10013,Acacia Creek,110,New England and North West,1,100
10014,Acacia Gardens,116,Sydney - Blacktown,1,100
10015,Adaminaby,101,Capital Region,1,100
10016,Adamstown,111,Newcastle and Lake Macquarie,1,100
10017,Adamstown Heights,111,Newcastle and Lake Macquarie,1,100
10018,Adelong,113,Riverina,1,100
10019,Adjungbilly,113,Riverina,1,100
10020,Afterlee,112,Richmond - Tweed,1,100
10021,Agnes Banks,124,Sydney - Outer West and Blue Mountains,1,100
10022,Airds,123,Sydney - Outer South West,1,100
10023,Akolele,101,Capital Region,1,100
10024,Albert,103,Central West,1,100
10025,Albion Park,107,Illawarra,1,100
10026,Albion Park Rail,107,Illawarra,1,100
10027,Albury,109,Murray,1,100
10028,Aldavilla,108,Mid North Coast,1,100
10029,Alectown,103,Central West,1,100
10030,Alexandria,117,Sydney - City and Inner South,1,100
10031,Alfords Point,128,Sydney - Sutherland,1,100
10032,Alfredtown,113,Riverina,1,100
10033,Alice,104,Coffs Harbour - Grafton,1,100
10034,Alison (Central Coast - NSW),102,Central Coast,1,100
10035,Alison (Dungog - NSW),106,Hunter Valley exc Newcastle,1,100
10036,Allambie Heights,122,Sydney - Northern Beaches,1,100
10037,Allandale (NSW),106,Hunter Valley exc Newcastle,1,100
10038,Allawah,119,Sydney - Inner South West,1,100
10039,Alleena,103,Central West,1,100
10040,Allgomera,108,Mid North Coast,1,100
10041,Allworth,108,Mid North Coast,1,100
10042,Allynbrook,106,Hunter Valley exc Newcastle,1,100
10043,Alma Park,109,Murray,1,100
10044,Alpine,114,Southern Highlands and Shoalhaven,1,100
10045,Alstonvale,112,Richmond - Tweed,1,100
10046,Alstonville,112,Richmond - Tweed,1,100
10047,Alumy Creek,104,Coffs Harbour - Grafton,1,100
10048,Amaroo (NSW),103,Central West,1,100
10049,Ambarvale,123,Sydney - Outer South West,1,100
10050,Amosfield,110,New England and North West,1,100
10051,Anabranch North,109,Murray,1,100
10052,Anabranch South,109,Murray,1,100
10053,Anambah,106,Hunter Valley exc Newcastle,1,100
10054,Ando,101,Capital Region,1,100
10055,Anembo,101,Capital Region,1,100
10056,Angledale,101,Capital Region,1,100
10057,Angledool,105,Far West and Orana,1,100
10058,Anglers Reach,101,Capital Region,1,100
10059,Angourie,104,Coffs Harbour - Grafton,1,100
10060,Anna Bay,106,Hunter Valley exc Newcastle,1,100
10061,Annandale (NSW),117,Sydney - City and Inner South,0.0043423,0.4342299
10061,Annandale (NSW),120,Sydney - Inner West,0.9956577,99.5657701
10062,Annangrove,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10063,Appin (NSW),123,Sydney - Outer South West,1,100
