Category Name,Category ID
Aquarium,4fceea171983d5d06c3e9823
Art Gallery,4bf58dd8d48988d1e2931735
Exhibit,56aa371be4b08b9a8d573532
General Entertainment,4bf58dd8d48988d1f1931735
Historic Site,4deefb944765f83613cdba6e
Memorial Site,5642206c498e4bfca532186c
Movie Theater,4bf58dd8d48988d17f941735
Museum,4bf58dd8d48988d181941735
Pool Hall,4bf58dd8d48988d1e3931735
Public Art,507c8c4091d498d9fc8c67a9
Stadium,4bf58dd8d48988d184941735
Theme Park,4bf58dd8d48988d182941735
Water Park,4bf58dd8d48988d193941735
Zoo,4bf58dd8d48988d17b941735
Festival,5267e4d9e4b0ec79466e48c7
Parade,52741d85e4b0d5d1e3c6a6d9
Sporting Event,5bae9231bedf3950379f89c5
Street Fair,5267e4d8e4b0ec79466e48c5
Trade Fair,5bae9231bedf3950379f89c3
Cafeteria,4bf58dd8d48988d128941735
Café,4bf58dd8d48988d16d941735
Coffee Shop,4bf58dd8d48988d1e0931735
Food Court,4bf58dd8d48988d120951735
Pizza Place,4bf58dd8d48988d1ca941735
Rugby Pitch,52e81612bcbc57f1066b7a2c
Soccer Field,4cce455aebf7b749d5e191f5
Sports Club,52e81612bcbc57f1066b7a2e
Bathing Area,52e81612bcbc57f1066b7a28
Bay,56aa371be4b08b9a8d573544
Beach,4bf58dd8d48988d1e2941735
Bike Trail,56aa371be4b08b9a8d57355e
Botanical Garden,52e81612bcbc57f1066b7a22
Bridge,4bf58dd8d48988d1df941735
Dog Run,4bf58dd8d48988d1e5941735
Forest,52e81612bcbc57f1066b7a23
Fountain,56aa371be4b08b9a8d573547
Garden,4bf58dd8d48988d15a941735
Indoor Play Area,5744ccdfe4b0c0459246b4b5
Lake,4bf58dd8d48988d161941735
National Park,52e81612bcbc57f1066b7a21
Nature Preserve,52e81612bcbc57f1066b7a13
Park,4bf58dd8d48988d163941735
Playground,4bf58dd8d48988d1e7941735
Plaza,4bf58dd8d48988d164941735
Pool,4bf58dd8d48988d15e941735
Recreation Center,52e81612bcbc57f1066b7a26
Reservoir,56aa371be4b08b9a8d573541
River,4eb1d4dd4b900d56c88a45fd
Trail,4bf58dd8d48988d159941735
Waterfront,56aa371be4b08b9a8d5734c3
