,ssc,category
0,20002,Park
1,20002,Park
2,20002,Cultural Center
3,20002,Coffee Shop
4,20002,Café
5,20002,Café
6,20002,Pet Store
7,20002,Park
8,20002,Garden
9,20002,Art Gallery
10,20002,Café
11,20002,Coffee Shop
12,20002,Café
13,20002,Coffee Shop
14,20002,Café
15,20002,Café
16,20002,Café
17,20002,Café
18,20002,Café
19,20002,Café
20,20002,Art Gallery
21,20002,Gym / Fitness Center
22,20002,General Entertainment
23,20002,Café
24,20002,Art Gallery
25,20002,Playground
26,20002,Café
27,20002,Café
28,20003,Dog Run
29,20003,Pizza Place
30,20003,Sports Club
31,20003,Playground
32,20003,Café
33,20017,Café
34,20017,Café
35,20017,Café
36,20017,Playground
37,20017,Sports Club
38,20017,Pool
39,20017,Park
40,20017,Park
41,20017,Café
42,20017,Football Stadium
43,20017,Café
44,20017,Café
45,20017,Breakfast Spot
46,20017,Playground
47,20017,Café
48,20017,Café
49,20017,Café
50,20017,Café
51,20017,Café
52,20017,Café
53,20017,Café
54,20017,Playground
55,20017,Lake
56,20017,Café
57,20033,Café
58,20033,Coffee Shop
59,20033,Park
60,20033,Café
61,20033,Park
62,20033,Park
63,20033,Historic Site
64,20033,Café
65,20033,Café
66,20033,Café
67,20033,Playground
68,20065,Café
69,20065,Café
70,20065,Café
71,20065,Café
72,20065,Pizza Place
73,20065,Coffee Shop
74,20065,Park
75,20065,Recreation Center
76,20065,Café
77,20065,Café
78,20065,Café
79,20065,Café
80,20065,Café
81,20065,Café
82,20065,Café
83,20065,Breakfast Spot
84,20065,Art Museum
85,20065,Art Gallery
86,20065,Art Gallery
87,20065,Dog Run
88,20065,Art Gallery
89,20065,Café
90,20065,Theme Park
91,20065,Café
92,20065,Café
93,20065,Café
94,20065,Café
95,20065,Coffee Shop
96,20065,Café
97,20074,Pizza Place
98,20074,Park
99,20074,Coffee Shop
100,20074,Pizza Place
101,20074,Coffee Shop
102,20074,Café
103,20074,Bridge
104,20074,Park
105,20074,Café
106,20074,General Entertainment
107,20074,Pizza Place
108,20074,General Entertainment
109,20074,Pizza Place
110,20074,Café
111,20074,Café
112,20074,Pizza Place
113,20074,Café
114,20074,Café
115,20074,Pool Hall
116,20074,Café
117,20074,Café
118,20076,Pizza Place
119,20076,Café
120,20076,Café
121,20076,Café
122,20076,Café
123,20076,Pizza Place
124,20076,Coffee Shop
125,20076,Recreation Center
126,20076,Park
127,20076,Park
128,20076,Café
129,20076,Café
130,20076,Pizza Place
131,20076,Café
132,20076,Park
133,20076,Pizza Place
134,20076,Coffee Shop
135,20076,Café
136,20078,Pizza Place
137,20078,Café
138,20078,Pizza Place
139,20078,Café
140,20078,Café
141,20078,Beach
142,20078,Beach
143,20078,Beach
144,20079,Pizza Place
145,20079,Soccer Field
146,20079,Playground
147,20079,Dog Run
148,20079,General Entertainment
149,20079,Café
150,20079,Coffee Shop
151,20079,Park
152,20079,Garden
153,20079,Playground
154,20104,Café
155,20104,Café
156,20104,Café
157,20104,Park
158,20104,Café
159,20104,Coffee Shop
160,20104,Pizza Place
161,20104,Coffee Shop
162,20104,Coffee Shop
163,20104,Pizza Place
164,20104,Garden
165,20104,Park
166,20104,Movie Theater
167,20104,Pizza Place
168,20104,Zoo Exhibit
169,20104,Café
170,20104,Café
171,20104,Café
172,20104,Coffee Shop
173,20104,Pizza Place
174,20104,Café
175,20104,Café
176,20104,Park
177,20104,Art Gallery
178,20104,Art Gallery
179,20104,Café
180,20104,Coffee Shop
181,20104,Theme Park
182,20104,Café
183,20104,Café
184,20122,Café
185,20122,Café
186,20122,Pizza Place
187,20122,Café
188,20122,Café
189,20122,Café
190,20122,Café
191,20122,Café
192,20122,Café
193,20122,Indoor Play Area
194,20122,Café
195,20122,Café
196,20122,Café
197,20122,Café
198,20122,Café
199,20122,Café
200,20122,Coffee Shop
201,20122,Café
202,20123,Park
203,20181,Exhibit
204,20181,Café
205,20181,Soccer Field
206,20181,Sports Club
207,20181,Park
208,20181,Café
209,20181,Pizza Place
210,20181,Café
211,20181,Australian Restaurant
212,20181,Café
213,20213,Café
214,20213,Café
215,20213,American Restaurant
216,20213,Café
217,20213,Café
218,20213,Café
219,20213,Café
220,20213,Café
221,20213,Café
222,20213,Café
223,20213,Café
224,20213,Pizza Place
225,20213,Pizza Place
226,20213,Café
227,20213,Café
228,20213,Café
229,20213,Café
230,20213,Café
231,20213,Recreation Center
232,20213,Coffee Shop
233,20213,Café
234,20213,Café
235,20213,Café
236,20213,Pool Hall
237,20213,Eastern European Restaurant
238,20213,Coffee Shop
239,20213,Café
240,20214,Café
241,20251,Pizza Place
242,20251,Café
243,20251,Kebab Restaurant
244,20251,Café
245,20251,Café
246,20251,Playground
247,20251,Café
248,20251,Café
249,20251,Park
250,20251,Park
251,20251,Café
252,20251,Café
253,20251,Sports Club
254,20251,Café
255,20251,Café
256,20251,Café
257,20251,Park
258,20251,Pizza Place
259,20251,Café
260,20251,Café
261,20251,Café
262,20251,Playground
263,20251,Café
264,20251,General Entertainment
265,20251,Café
266,20251,Café
267,20251,Café
268,20251,Café
269,20251,Café
270,20253,Park
271,20253,Café
272,20253,Café
273,20277,Beach
274,20277,Café
275,20277,Pizza Place
276,20277,Pizza Place
277,20277,Beach
278,20312,Garden
279,20312,Park
280,20312,Coffee Shop
281,20312,Coffee Shop
282,20312,Café
283,20312,Park
284,20312,Coffee Shop
285,20312,Café
286,20312,Café
287,20312,Pool Hall
288,20312,Pizza Place
289,20312,Greek Restaurant
290,20312,Historic Site
291,20312,Café
292,20312,Café
293,20312,Café
294,20313,Pizza Place
295,20313,Park
296,20313,Park
297,20313,Park
298,20313,Park
299,20313,General Entertainment
300,20313,Café
301,20313,Plaza
302,20314,Café
303,20314,Recreation Center
304,20314,Park
305,20314,Café
306,20314,Café
307,20335,Playground
308,20335,Coffee Shop
309,20335,Art Gallery
310,20335,Recreation Center
311,20335,Historic Site
312,20335,Art Gallery
313,20335,Dog Run
314,20335,Garden
315,20335,Park
316,20335,History Museum
317,20335,Pool
318,20335,Coffee Shop
319,20335,Indie Movie Theater
320,20335,Café
321,20335,Café
322,20335,Coffee Shop
323,20335,Art Gallery
324,20335,Café
325,20335,Café
326,20335,Café
327,20335,Coffee Shop
328,20335,Plaza
329,20335,Café
330,20335,Café
331,20335,Movie Theater
332,20335,Café
333,20335,Café
334,20335,Café
335,20335,Café
336,20336,Café
337,20336,Café
338,20336,Italian Restaurant
339,20336,Garden
340,20336,Tennis Stadium
341,20359,Café
342,20359,Grocery Store
343,20359,Pizza Place
344,20359,Café
345,20359,Café
346,20359,Coffee Shop
347,20359,Café
348,20359,Coffee Shop
349,20359,Café
350,20359,Plaza
351,20359,Café
352,20359,Pool
353,20359,General Entertainment
354,20359,Café
355,20359,Coffee Shop
356,20359,Café
357,20359,Café
358,20359,Café
359,20359,Café
360,20359,Café
361,20359,Café
362,20359,Food Court
363,20359,Café
364,20359,Art Gallery
365,20359,Breakfast Spot
366,20359,Café
367,20359,Café
368,20359,Café
369,20360,Park
370,20360,Café
371,20360,Café
372,20360,Café
373,20360,Coffee Shop
374,20360,Bakery
375,20360,Café
376,20360,Park
377,20360,Garden Center
378,20360,Pizza Place
379,20360,Garden
380,20360,Coffee Shop
381,20360,Pizza Place
382,20360,Café
383,20360,Park
384,20360,Park
385,20360,Cafeteria
386,20360,Park
387,20360,Exhibit
388,20360,Garden
389,20360,Art Gallery
390,20360,Playground
391,20360,Art Gallery
392,20360,Café
393,20360,Trail
394,20360,General Entertainment
395,20360,Café
396,20360,Café
397,20360,Café
398,20361,Park
399,20361,Italian Restaurant
400,20361,Café
401,20361,Recreation Center
402,20361,Trail
403,20361,Pizza Place
404,20361,General Entertainment
405,20361,Coffee Shop
406,20361,Café
407,20361,Café
408,20361,Pizza Place
409,20361,Café
410,20384,Park
411,20384,Pizza Place
412,20416,Café
413,20416,Café
414,20416,Playground
415,20416,Park
416,20416,Design Studio
417,20416,Café
418,20416,Café
419,20416,Café
420,20416,Japanese Restaurant
421,20416,Dog Run
422,20416,Bridge
423,20416,Park
424,20416,Breakfast Spot
425,20416,Café
426,20416,Furniture / Home Store
427,20416,Park
428,20416,Café
429,20416,Vegetarian / Vegan Restaurant
430,20416,Café
431,20416,Park
432,20416,General Entertainment
433,20416,Theme Park
434,20416,Park
435,20416,Café
436,20416,Coffee Shop
437,20416,Trail
438,20416,General Entertainment
439,20416,Café
440,20424,Coffee Shop
441,20424,Café
442,20424,Playground
443,20424,Soccer Field
444,20424,Pizza Place
445,20424,Café
446,20424,Café
447,20424,Café
448,20424,Café
449,20424,Art Gallery
450,20424,Dog Run
451,20424,Breakfast Spot
452,20424,Café
453,20424,Café
454,20425,Café
455,20425,Pizza Place
456,20425,Café
457,20425,Food Court
458,20425,Food Court
459,20425,Café
460,20425,Café
461,20425,Café
462,20425,Park
463,20425,Playground
464,20451,Playground
465,20451,Park
466,20451,Park
467,20451,Playground
468,20451,Park
469,20451,Park
470,20451,Café
471,20451,Café
472,20451,Park
473,20466,Café
474,20466,Café
475,20466,Dance Studio
476,20466,Café
477,20466,Park
478,20466,Coffee Shop
479,20466,Café
480,20466,Café
481,20466,Café
482,20466,Café
483,20466,Café
484,20466,Park
485,20466,Playground
486,20466,Park
487,20466,Café
488,20466,Café
489,20466,Café
490,20466,Café
491,20466,Café
492,20466,Café
493,20466,Café
494,20466,Café
495,20466,Café
496,20466,Coffee Shop
497,20466,Pool Hall
498,20492,Pizza Place
499,20492,Dessert Shop
500,20492,Café
501,20492,Park
502,20492,Dessert Shop
503,20492,Pizza Place
504,20492,Museum
505,20492,Plaza
506,20492,Dessert Shop
507,20492,Italian Restaurant
508,20492,Coffee Shop
509,20492,Park
510,20492,Playground
511,20492,Park
512,20492,Indie Movie Theater
513,20492,Park
514,20492,History Museum
515,20492,Sports Club
516,20492,Pizza Place
517,20492,Coffee Shop
518,20492,Monument / Landmark
519,20492,Museum
520,20492,Pizza Place
521,20492,Café
522,20492,Café
523,20492,Café
524,20492,Café
525,20492,Cheese Shop
526,20492,Café
527,20492,Italian Restaurant
528,20493,Breakfast Spot
529,20493,Café
530,20493,Café
531,20493,Lake
532,20493,Historic Site
533,20493,Café
534,20493,Park
535,20493,General Entertainment
536,20493,Café
537,20493,Café
538,20493,Café
539,20493,Café
540,20493,Café
541,20493,Pizza Place
542,20493,Art Gallery
543,20493,Garden
544,20493,Playground
545,20493,Dog Run
546,20493,Café
547,20493,Pizza Place
548,20493,Café
549,20493,Turkish Restaurant
550,20493,Deli / Bodega
551,20493,Café
552,20493,Café
