ssc,ratio,name,geolocation
20002,0.217921527,Abbotsford (Vic.),"(-37.8045508, 144.9988542)"
20003,0.382011605,Aberfeldie,"(-37.7596196, 144.8974571)"
20017,0.362507759,Albert Park (Vic.),"(-37.8477725, 144.96200797154074)"
20033,0.363782051,Alphington,"(-37.7783953, 145.0312823)"
20065,0.325091575,Armadale (Vic.),"(-37.8567619, 145.0206905)"
20074,0.389550623,Ascot Vale,"(-37.775316, 144.921849)"
20076,0.449828683,Ashburton,"(-37.862047, 145.0812907)"
20078,0.409188034,Aspendale,"(-38.0272365, 145.1021263)"
20079,0.38870614,Aspendale Gardens,"(-38.0221438, 145.11984)"
20104,0.334190231,Balaclava (Vic.),"(-37.86992145, 144.99342786739248)"
20122,0.36208345,Balwyn,"(-37.8091737, 145.0833678)"
20123,0.392068091,Balwyn North,"(-37.7919518, 145.0842372)"
20181,0.360032362,Beaumaris (Vic.),"(-37.9822122, 145.0389098)"
20213,0.414928141,Bentleigh,"(-37.9175354, 145.0369346)"
20214,0.42457293,Bentleigh East,"(-37.9220201, 145.0665529)"
20250,0.355400697,Black Rock (Vic.),"(-36.5809983, 144.2881358)"
20251,0.38128106,Blackburn,"(-37.82008355, 145.15002117835627)"
20252,0.4098681,Blackburn North,"(-37.8053801, 145.154324)"
20253,0.394336283,Blackburn South,"(-37.8388322, 145.1487848)"
20277,0.377990431,Bonbeach,"(-38.0629381, 145.1197459)"
20312,0.319302237,Box Hill (Vic.),"(-37.8137032, 145.123805125)"
20313,0.386378103,Box Hill North,"(-37.8056831, 145.1295748)"
20314,0.40171347,Box Hill South,"(-37.8366236, 145.1233644)"
20318,0,Braeside,"(-38.0005245, 145.1229578)"
20335,0.360323887,Brighton (Vic.),"(-37.9081962, 144.9957991)"
20336,0.410968661,Brighton East,"(-37.9171728, 145.0163663)"
20359,0.285609801,Brunswick (Vic.),"(-37.7664715, 144.9613103)"
20360,0.285979228,Brunswick East,"(-37.7688802, 144.9776825)"
20361,0.331529907,Brunswick West,"(-37.7633334, 144.9425563)"
20384,0.295856087,Bulleen,"(-37.7663109, 145.12128101475844)"
20416,0.309392265,Burnley,"(-37.82762235, 145.0080911963464)"
20424,0.348164281,Burwood (Vic.),"(-37.851671, 145.0805767)"
20425,0.321157324,Burwood East,"(-37.8535935, 145.150423)"
20451,0.376167812,Camberwell (Vic.),"(-37.8384623, 145.0740767)"
20466,0.354519774,Canterbury (Vic.),"(-37.8247469, 145.0807636)"
20492,0.226286174,Carlton (Vic.),"(-37.8004228, 144.9684343)"
20493,0.296965318,Carlton North,"(-37.7845585, 144.9728553)"
20495,0.372429907,Carnegie,"(-37.886029, 145.0581271)"
20504,0.355472404,Carrum,"(-38.0783895, 145.1232748)"
20518,0.346627991,Caulfield,"(-37.882265000000004, 145.02246283740942)"
20519,0.355481728,Caulfield East,"(-37.881276, 145.0420847)"
20520,0.338645418,Caulfield North,"(-37.870828, 145.0218005)"
20521,0.384517766,Caulfield South,"(-37.894699, 145.0249323)"
20534,0.381809095,Chelsea,"(-38.0518344, 145.1158466)"
20535,0.394929953,Chelsea Heights,"(-38.0408403, 145.1341354)"
20536,0.383165206,Cheltenham (Vic.),"(-37.9634181, 145.0615668)"
20571,0.371669916,Clifton Hill,"(-37.78887735, 144.99536265376906)"
20592,0.373408986,Coburg,"(-37.7449752, 144.9643314)"
20612,0.270531401,Collingwood (Vic.),"(-37.802104, 144.9881387)"
20665,0.253863135,Cremorne (Vic.),"(-37.8290227, 144.9927735)"
20722,0.32293578,Deepdene (Vic.),"(-37.8121234, 145.0664377)"
20752,0.354727398,Dingley Village,"(-37.9755762, 145.1256478)"
20760,0.226525822,Docklands,"(-37.8175423, 144.9394923)"
20765,0.294692502,Doncaster,"(-37.7848299, 145.1238431)"
20766,0.352665928,Doncaster East,"(-37.7788744, 145.1638815)"
20768,0.342805863,Donvale,"(-37.7898094, 145.1914915)"
20824,0.161698284,East Melbourne,"(-37.812498, 144.9858851)"
20842,0.400131406,Edithvale,"(-38.0380738, 145.1083923)"
20858,0.391824142,Elsternwick,"(-37.8858425, 145.0070152)"
20861,0.342825849,Elwood,"(-37.8788568, 144.9855487)"
20879,0.363812101,Essendon,"(-37.755962999999994, 144.91617790401142)"
20881,0.346103038,Essendon North,"(-37.7384762, 144.9012027)"
20895,0.351386202,Fairfield (Vic.),"(-37.7791933, 145.017005)"
20918,0.288650163,Fitzroy (Vic.),"(-37.8010382, 144.9792611)"
20919,0.312251536,Fitzroy North,"(-37.7833316, 144.9837074)"
20923,0.407942238,Flemington,"(-37.7867587, 144.9193668)"
20958,0.361788618,Gardenvale,"(-37.8966425, 145.0041759)"
21002,0.357366771,Glen Huntly,"(-37.8923791, 145.0413689)"
21003,0.395548203,Glen Iris (Vic.),"(-37.855814, 145.0646117)"
21003,0.395548203,Glen Iris (Vic.),"(-37.855814, 145.0646117)"
21123,0.413080408,Hampton (Vic.),"(-37.9381127, 145.0014764)"
21124,0.392653061,Hampton East,"(-37.9385409, 145.0306726)"
21143,0.318046234,Hawthorn (Vic.),"(-37.8244246, 145.0317207)"
21144,0.357001972,Hawthorn East,"(-37.8313785, 145.0499797)"
21154,0.465539662,Heatherton,"(-37.9560844, 145.0932067)"
21176,0.420584046,Highett,"(-37.9484438, 145.04188)"
21205,0.398686205,Hughesdale,"(-37.894291, 145.0764309)"
21319,0.362162162,Kensington (Vic.),"(-37.7939378, 144.9305645)"
21328,0.355359765,Kew (Vic.),"(-37.8033586, 145.0333285)"
21329,0.409714286,Kew East,"(-37.7904215, 145.0527906)"
21385,0.251184834,Kooyong,"(-37.841394, 145.0358402)"
21576,0.369052224,Malvern (Vic.),"(-37.8576088, 145.0350666)"
21576,0.369052224,Malvern (Vic.),"(-37.8576088, 145.0350666)"
21577,0.384402655,Malvern East,"(-37.876835, 145.0658739)"
21618,0.465308721,McKinnon,"(-37.9109769, 145.0381437)"
21629,0.154968208,Melbourne,"(-37.8142176, 144.9631608)"
21637,0.350993377,Mentone,"(-37.9813669, 145.0689511)"
21666,0.380650995,Middle Park (Vic.),"(-37.8511511, 144.9620399)"
21720,0.367029549,Mont Albert,"(-37.819535, 145.1055334)"
21721,0.400398406,Mont Albert North,"(-37.8033152, 145.1107226)"
21730,0.363534987,Moonee Ponds,"(-37.765575, 144.9212864)"
21734,0.385876419,Moorabbin,"(-37.9343919, 145.0368952)"
21748,0.412593985,Mordialloc,"(-38.0067174, 145.0875658)"
21837,0.377570819,Murrumbeena,"(-37.8901845, 145.067335)"
21954,0.30726464,North Melbourne,"(-37.8076092, 144.9423514)"
21959,0.383804015,Northcote,"(-37.77308, 145.01032454775785)"
22004,0.431171255,Ormond,"(-37.9035653, 145.039503)"
22025,0.403827751,Parkdale,"(-37.9931563, 145.0763703)"
22026,0.255165289,Parkville (Vic.),"(-37.7871148, 144.9515533)"
22029,0.396669708,Pascoe Vale,"(-37.7308099, 144.9282189)"
22030,0.421613394,Pascoe Vale South,"(-37.7434265, 144.9384767)"
22035,0.343058824,Patterson Lakes,"(-38.0694493, 145.1432329)"
22095,0.30468566,Port Melbourne,"(-37.8333613, 144.9219203)"
22106,0.238672851,Prahran,"(-37.8519135, 145.0005993)"
22110,0.289583333,Princes Hill,"(-37.7818041, 144.9665675)"
22158,0.25998446,Richmond (Vic.),"(-37.80745, 144.99071757972087)"
22167,0.387931034,Ripponlea,"(-37.8777978, 144.9952778)"
22223,0.38001514,Sandringham (Vic.),"(-37.950301, 145.0043875)"
22299,0.280715101,South Melbourne,"(-37.8334603, 144.9570188)"
22302,0,South Wharf,"(-37.8253279, 144.9493432)"
22303,0.194941283,South Yarra,"(-37.8377695, 144.9918537)"
22304,0.163090129,Southbank,"(-37.8253618, 144.9640203)"
22332,0.220431441,St Kilda (Vic.),"(-37.8638261, 144.981637)"
22333,0.365084986,St Kilda East,"(-37.8668218, 145.0021657)"
22333,0.365084986,St Kilda East,"(-37.8668218, 145.0021657)"
22334,0.295487627,St Kilda West,"(-37.8579958, 144.9712452)"
22387,0.3972106,Surrey Hills,"(-37.8241183, 145.0986212)"
22471,0.312805267,Templestowe,"(-37.7540588, 145.1486152)"
22472,0.347860125,Templestowe Lower,"(-37.7638749, 145.1122762)"
22496,0.38503156,Thornbury,"(-37.7550276, 144.9986139)"
22534,0.248647023,Toorak,"(-37.8416141, 145.0176215)"
22559,0.265734266,Travancore,"(-37.7807553, 144.935503)"
22707,0.490881459,Waterways,"(-38.0147783, 145.1305166)"
22743,0.220791168,West Melbourne,"(-37.81044755, 144.92042979350134)"
22791,0.226045884,Windsor (Vic.),"(-37.8545227, 144.9921665)"
